  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
       568      5.363           5.317           6.598           5.903
       569      5.521           5.473           6.744           6.055
       570      5.545           5.502           6.764           6.076
       571      5.583           5.545           6.772           6.093
       572      5.310           5.265           6.594           5.875
       573      5.400           5.361           6.622           5.928
       574      5.505           5.470           6.671           6.007
       575      5.650           5.615           6.808           6.157
       576      5.482           5.443           6.687           6.012
       577      5.420           5.387           6.645           5.952
       578      5.298           5.265           6.537           5.837
       579      5.385           5.347           6.625           5.928
       580      5.539           5.494           6.742           6.068
       581      5.630           5.590           6.877           6.178
       582      5.511           5.471           6.806           6.076
       583      5.502           5.463           6.785           6.066
       584      5.504           5.457           6.796           6.067
       585      5.270           5.232           6.522           5.814
       586      5.302           5.268           6.593           5.873
       587      5.327           5.285           6.568           5.864
       588      5.466           5.423           6.616           5.946
       589      5.701           5.666           6.859           6.193
       590      5.625           5.579           6.867           6.158
       591      5.700           5.650           6.892           6.208
       592      5.553           5.509           6.798           6.090
       593      5.522           5.478           6.769           6.077
       594      5.385           5.350           6.641           5.939
       595      5.468           5.435           6.693           5.997
       596      5.281           5.239           6.525           5.818
       597      5.325           5.277           6.596           5.879
       598      5.309           5.265           6.592           5.870
       599      5.384           5.338           6.667           5.949
       600      5.410           5.371           6.646           5.954
       601      5.199           5.154           6.486           5.765
       602      5.234           5.189           6.577           5.836
       603      5.157           5.121           6.512           5.759
       604      5.206           5.168           6.520           5.782
       605      5.098           5.055           6.471           5.707
       606      5.177           5.138           6.504           5.769
       607      5.045           5.013           6.405           5.649
       608      5.135           5.101           6.429           5.710
       609      5.205           5.176           6.514           5.789
       610      5.313           5.276           6.621           5.892
       611      5.309           5.273           6.639           5.901
       612      5.385           5.346           6.690           5.957
       613      5.403           5.362           6.663           5.945
       614      5.329           5.290           6.590           5.880
       615      5.357           5.316           6.636           5.916
       616      5.352           5.308           6.655           5.929
       617      5.253           5.208           6.518           5.792
       618      5.266           5.225           6.486           5.782
       619      5.207           5.170           6.504           5.770
       620      5.123           5.085           6.400           5.674
       621      5.110           5.073           6.395           5.667
       622      5.143           5.108           6.416           5.695
